Journal,IF (JCR year 2024),IF (5 yr),H5-index,Publisher,Publishing Model,Subject Area (tags),Aims & Scope,Content Tags,
Academic Emergency Medicine,3.2,3.3,50,Wiley,Hybrid,"emergency medicine, Emergency Management",https://onlinelibrary.wiley.com/page/journal/15532712/homepage/productinformation.html,,
Administration & Society,2.3,3.3,39,Sage,Hybrid,"public administration, social policy, pa-policy",,,
Advances in Climate Change Research,5.2,6.4,41,KeAi Publishing,Open access,environment,,,
Advances in Public Health,1.2,2.4,24,Wiley,Open access,public health,https://onlinelibrary.wiley.com/page/journal/2714/homepage/productinformation.html,,
American Behavioral Scientist,1.5,2.6,51,Sage,Hybrid,general science,https://journals.sagepub.com/overview-metric/ABS,,
American Educational Research Journal,3.6,5.2,53,Sage,Hybrid,higher ed,,,
American Journal of Disaster Medicine,,,9,Weston Medical Publishers,Subscription,disaster medicine,,,
American Journal of Emergency Medicine,2.2,2.4,78,Elsevier,Hybrid,"emergency medicine, Emergency Management",https://www.sciencedirect.com/journal/the-american-journal-of-emergency-medicine/about/aims-and-scope,,
American Journal of Epidemiology,4.8,5.2,63,Oxford University Press,Hybrid,epidemiology,https://academic.oup.com/aje/pages/About,,
American Journal of Preventive Medicine,4.5,4.9,72,Elsevier,Open access,public health,https://www.ajpmonline.org/content/aims,,
American Journal of Public Health,9.6,10.3,87,APHA,Hybrid,public health,https://ajph.aphapublications.org/page/authors.html,"CHWs, trainings, education, core competencies",
American Journal of Undergraduate Research,,,7,independently published,Open access,higher ed,,,
Annals of Emergency Medicine,5,5.2,54,Elsevier,Hybrid,"emergency medicine, Emergency Management",https://www.annemergmed.com/content/overview,,
Annual Review of Public Health,20.7,28.4,64,Annual Reviews,Open access,public health,https://www.annualreviews.org/content/journals/publhealth,,
Archives of Public Health,3.2,3.7,51,Springer,Open access,"public health, health policy, pa-policy",https://archpublichealth.biomedcentral.com/submission-guidelines/aims-and-scope,,
Asian Journal of Environment and Disaster Management,,,,Research Publishing Services,Subscription,"environment, emergency management",,,
Australasian Journal of Disaster and Trauma Studies,,,,Massey University School of Psychology (NZ),Open access,"disaster medicine, emergency management",,,
Australian Journal of Emergency Management,,,,Australian Institute for Disaster Resilience (ADIR),Open access,"international, emergency management",,,
Behaviorial Sciences of Terrorism and Political Aggression,1.4,1.8,23,Taylor & Francis,Hybrid,international,https://www.tandfonline.com/journals/rirt20/about-this-journal#aims-and-scope,terrorism,
BMC Emergency Medicine,2.6,2.9,38,BMC (Springer),Open access,"emergency medicine, Emergency Management",https://bmcemergmed.biomedcentral.com/about,,
BMC Global and Public Health,,,12,Springer,Open access,"public health, international",https://bmcglobalpublichealth.biomedcentral.com/about,,
BMC Health Services Research,3,3.4,96,Springer,Open access,public health,https://bmchealthservres.biomedcentral.com/about#content+we+consider,,
BMC Infectious Diseases,3,3.1,89,BMC (Springer),Open access,epidemiology,https://bmcinfectdis.biomedcentral.com/about,"infectious disease, ebola, H5N1, monkeypox",
BMC Public Health,3.6,4.2,143,Springer,Open access,public health,https://bmcpublichealth.biomedcentral.com/about#content+we+consider,,
BMJ Public Health,,,11,BMJ,Open access,public health,https://bmjpublichealth.bmj.com/pages/about,,
Challenges - Journal of Planetary Health,,,,MDPI,Open access,"general science, health policy, pa-policy",,,
Climate and Development,3.4,4.7,46,Taylor & Francis,Hybrid,environment,https://www.tandfonline.com/journals/tcld20/about-this-journal#aims-and-scope,,
Climate Risk Management,5,5.4,51,Elsevier,Open access,environment,https://www.sciencedirect.com/journal/climate-risk-management/about/aims-and-scope,,
Climatic Change,4.8,5.8,82,Springer,Hybrid,environment,https://link.springer.com/journal/10584/aims-and-scope,,
College Student Affairs Journal,,,17,Southern Association for College Student Affairs,Subscription,higher ed,,,
Community Health Equity Research & Policy,1.8,1.9,20,Sage,Hybrid,"community health, health policy, pa-policy",https://journals.sagepub.com/overview-metric/QCH,,
Conflict and Health,3.4,4.1,48,BMC (Springer),Open access,international,https://conflictandhealth.biomedcentral.com/about,,
Continuity and Resilience Review,,,,Emerald,Open access,emergency management,,,
Crisis and Risk Communication,,,,Taylor & Francis,Hybrid,emergency management,,,
Critical Public Health,2.3,2.5,35,Taylor & Francis,Open access,public health,https://www.tandfonline.com/journals/ccph20/about-this-journal#aims-and-scope,,
Critical Studies on Terrorism,2.5,2.7,26,Taylor & Francis,Hybrid,international,https://www.tandfonline.com/journals/rter20/about-this-journal#aims-and-scope,terrorism,
Current Trauma Reports,2.4,1.4,.,Springer,Hybrid,emergency medicine,https://link.springer.com/journal/40719/aims-and-scope,trauma,
Disability & Society,2,3.1,52,Taylor & Francis,Hybrid,"public health, health policy, social policy, pa-policy",,,
Disaster Medicine and Public Health Preparedness,1.8,1.9,58,Cambridge University Press,Hybrid,"disaster medicine, emergency management",https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/information/about-this-journal,,
Disaster Prevention and Management,2,2,24,Emerald,Hybrid,emergency management,https://www.emeraldgrouppublishing.com/journal/dpm,,
Disaster Prevention and Resilience,,,,OAE Publishing Inc. ,Open access,emergency management,,,
Disasters,2.6,3.1,34,Wiley,Hybrid,emergency management,https://onlinelibrary.wiley.com/page/journal/14677717/homepage/productinformation.html,,
Earthquake Research Advances,,,,KeAi Publishing,Open access,emergency management,,,
Earthquake Science,4.1,2.4,18,Elsevier partner,Open access,emergency management,,,
Earthquake Spectra,3.7,4.5,49,Wiley,Hybrid,emergency management,,,
Ecology and Society,3.2,4,49,Resilience Alliance,Open access,"environment, emergency management",,,
Economics of Disasters and Climate Change,,,24,Springer,Hybrid,"environment, emergency management",,,
Educational Evaluation and Policy Analysis,2.7,3.6,41,Sage,Subscription,"higher ed, educational policy, pa-policy",,,
Educational Gerontology,1.5,1.6,26,Taylor & Francis,Hybrid,higher ed,,,
Educational Policy,1.8,2.6,38,Sage,Hybrid,"higher ed, educational policy, pa-policy",,,
Educational Researcher,4.9,7.5,61,Sage,Hybrid,higher ed,,,
Emergency and Critical Care Medicine,,,8,Lippincott,Open access,emergency medicine,https://journals.lww.com/eccm/Pages/Instructions-for-Authors.aspx,,
